Datetime,Round,GoldBar_Buy,GoldBar_Sell,Ornament_Base,Ornament_Sell,Gold_Spot,THB_Rate,Change,Month,Year
30/01/2564 09:25,1.0,26100.0,26200.0,25635.56,26700.0,1847.5,29.94,50.0,มกราคม,2564
29/01/2564 16:05,4.0,26150.0,26250.0,25681.04,26750.0,1850.5,29.95,50.0,มกราคม,2564
29/01/2564 14:15,3.0,26100.0,26200.0,25635.56,26700.0,1845.0,29.99,50.0,มกราคม,2564
29/01/2564 13:54,2.0,26150.0,26250.0,25681.04,26750.0,1850.0,29.99,50.0,มกราคม,2564
29/01/2564 09:26,1.0,26100.0,26200.0,25635.56,26700.0,1843.0,30.0,0.0,มกราคม,2564
28/01/2564 16:03,2.0,26100.0,26200.0,25635.56,26700.0,1840.5,30.06,50.0,มกราคม,2564
28/01/2564 09:22,1.0,26050.0,26150.0,25574.92,26650.0,1838.5,30.03,50.0,มกราคม,2564
27/01/2564 16:18,3.0,26100.0,26200.0,25635.56,26700.0,1845.0,29.98,50.0,มกราคม,2564
27/01/2564 09:48,2.0,26150.0,26250.0,25681.04,26750.0,1847.5,30.0,50.0,มกราคม,2564
27/01/2564 09:25,1.0,26100.0,26200.0,25635.56,26700.0,1845.0,29.99,150.0,มกราคม,2564
26/01/2564 15:21,5.0,26250.0,26350.0,25772.0,26850.0,1855.0,30.0,50.0,มกราคม,2564
26/01/2564 14:46,4.0,26200.0,26300.0,25726.52,26800.0,1851.5,30.01,50.0,มกราคม,2564
26/01/2564 12:22,3.0,26250.0,26350.0,25772.0,26850.0,1856.0,30.0,50.0,มกราคม,2564
26/01/2564 10:05,2.0,26300.0,26400.0,25832.64,26900.0,1861.0,29.97,50.0,มกราคม,2564
26/01/2564 09:28,1.0,26250.0,26350.0,25772.0,26850.0,1858.5,29.97,50.0,มกราคม,2564
25/01/2564 13:29,2.0,26200.0,26300.0,25726.52,26800.0,1852.0,29.99,50.0,มกราคม,2564
25/01/2564 09:24,1.0,26250.0,26350.0,25772.0,26850.0,1856.0,30.0,0.0,มกราคม,2564
23/01/2564 09:19,1.0,26250.0,26350.0,25772.0,26850.0,1855.5,30.02,100.0,มกราคม,2564
22/01/2564 09:24,1.0,26350.0,26450.0,25878.12,26950.0,1864.0,29.98,50.0,มกราคม,2564
21/01/2564 16:39,5.0,26400.0,26500.0,25923.6,27000.0,1869.5,29.95,50.0,มกราคม,2564
21/01/2564 15:51,4.0,26450.0,26550.0,25969.08,27050.0,1872.0,29.97,50.0,มกราคม,2564
21/01/2564 14:31,3.0,26400.0,26500.0,25923.6,27000.0,1869.5,29.95,50.0,มกราคม,2564
21/01/2564 12:34,2.0,26450.0,26550.0,25969.08,27050.0,1874.0,29.94,50.0,มกราคม,2564
21/01/2564 09:23,1.0,26400.0,26500.0,25923.6,27000.0,1869.0,29.96,150.0,มกราคม,2564
20/01/2564 16:11,3.0,26250.0,26350.0,25772.0,26850.0,1856.0,30.0,50.0,มกราคม,2564
20/01/2564 13:16,2.0,26200.0,26300.0,25726.52,26800.0,1852.5,29.99,50.0,มกราคม,2564
20/01/2564 09:26,1.0,26150.0,26250.0,25681.04,26750.0,1848.5,29.99,0.0,มกราคม,2564
19/01/2564 15:35,5.0,26150.0,26250.0,25681.04,26750.0,1844.0,30.07,50.0,มกราคม,2564
19/01/2564 13:56,4.0,26100.0,26200.0,25635.56,26700.0,1841.0,30.06,50.0,มกราคม,2564
19/01/2564 10:54,3.0,26050.0,26150.0,25574.92,26650.0,1837.0,30.06,50.0,มกราคม,2564
19/01/2564 10:16,2.0,26100.0,26200.0,25635.56,26700.0,1838.5,30.08,50.0,มกราคม,2564
19/01/2564 09:25,1.0,26150.0,26250.0,25681.04,26750.0,1843.5,30.08,100.0,มกราคม,2564
18/01/2564 16:04,5.0,26050.0,26150.0,25574.92,26650.0,1833.5,30.14,50.0,มกราคม,2564
18/01/2564 12:58,4.0,26100.0,26200.0,25635.56,26700.0,1838.0,30.12,50.0,มกราคม,2564
18/01/2564 12:35,3.0,26050.0,26150.0,25574.92,26650.0,1832.5,30.13,50.0,มกราคม,2564
18/01/2564 09:33,2.0,26000.0,26100.0,25529.44,26600.0,1829.0,30.12,50.0,มกราคม,2564
